Names,Twittername,Party,Region
Margrethe Vestager,vestager,Radikale Venstre,UNKNOWN
Lars Løkke Rasmussen,larsloekke,Venstre,sjælland
Morten Østergaard,oestergaard,Radikale Venstre,midtjylland
Pernille Skipper,PSkipperEL,Enhedslisten,hovedstadan
Ida Auken,IdaAuken,Radikale Venstre,hovedstadan
Kristian Jensen,Kristian_Jensen,Venstre,midtjylland
Uffe Elbaek,uffeelbaek,UNKNOWN,UNKNOWN
Søren Pape Poulsen,SorenPape,Det Konservative Folkeparti,midtjylland
Pia Olsen Dyhr,PiaOlsen,Socialistisk Folkeparti,hovedstadan
Magnus Heunicke,Heunicke,Socialdemokratiet,sjælland
Sofie CarstenNielsen,sofiecn,UNKNOWN,UNKNOWN
Statsministeriet,Statsmin,Venstre,UNKNOWN
Regeringen,regeringDK,Government,Government
Brian Holm,brianholm1962,UNKNOWN,UNKNOWN
Simon Emil Ammitzbøll-Bille,ammitzbollbille,Uden for folketingsgrupperne,hovedstadan
Jakob Ellemann-Jensen,JakobEllemann,Venstre,midtjylland
Dan Jørgensen,DanJoergensen,Socialdemokratiet,syddanmark
Denmark MFA 🇩🇰,DanishMFA,UNKNOWN,UNKNOWN
Mattias Tesfaye,mattiastesfaye,Socialdemokratiet,hovedstadan
Rosenkrantz-Theil,RosenkrantzT,Socialdemokratiet,UNKNOWN
Ellen Trane Nørby,EllenTraneNorby,Venstre,syddanmark
Morten Messerschmidt,MrMesserschmidt,Dansk Folkeparti,hovedstadan
Frank Jensen,FrankJensenKBH,Socialdemokratiet,UNKNOWN
Sophie Løhde,sophieloehde,Venstre,hovedstadan
Tommy Ahlers,aahlers,Venstre,hovedstadan
Martin Lidegaard,martinlidegaard,Radikale Venstre,hovedstadan
Karen Melchior😷🧼🇪🇺,karmel80,UNKNOWN,UNKNOWN
Zenia Stampe,zeniastampe,Radikale Venstre,sjælland
Astrid Krag,Astridkrag,Socialdemokratiet,sjælland
Benny Engelbrecht,BennyEngelbrech,Socialdemokratiet,syddanmark
Rasmus Jarlov,RasmusJarlov,Det Konservative Folkeparti,hovedstadan
Peter Hummelgaard,PHummelgaard,Socialdemokratiet,hovedstadan
Jan E. Jørgensen,JanEJoergensen,Venstre,hovedstadan
Karsten Lauritzen,StemLAURITZEN,Venstre,nordjylland
Mogens Jensen,MogensJensenS,Socialdemokratiet,midtjylland
Mette Abildgaard,metteabildgaard,Det Konservative Folkeparti,hovedstadan
Morten Bødskov,mfMorten,Socialdemokratiet,hovedstadan
